
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-15 18:44:33 / ........................................................................................ ~ 3s
  2026-05-15 18:45:26 /api/auth/login .................................................................... ~ 508.79ms
  2026-05-15 18:45:26 /api/auth/login .......................................................................... ~ 3s
  2026-05-15 18:45:30 /api/me .............................................................................. ~ 0.31ms
  2026-05-15 18:45:30 /api/dashboards/master ............................................................... ~ 0.51ms
  2026-05-15 18:45:30 /api/dashboards/master ............................................................... ~ 1.71ms
  2026-05-15 18:45:30 /api/me ............................................................................ ~ 504.72ms
  2026-05-15 18:45:30 /api/dashboards/master ............................................................. ~ 511.82ms
  2026-05-15 18:45:31 /api/dashboards/master ............................................................... ~ 0.11ms
  2026-05-15 18:45:31 /api/dashboards/master ............................................................... ~ 0.69ms
  2026-05-15 18:45:32 /api/dashboards/master ............................................................... ~ 0.77ms
  2026-05-15 18:45:36 /api/auth/logout ................................................................... ~ 514.20ms
  2026-05-15 18:45:39 /api/landing/boosters .............................................................. ~ 514.27ms
  2026-05-15 18:45:39 /api/landing/boosters ................................................................ ~ 0.20ms
  2026-05-15 18:45:39 /api/auth/login ......................................................................... ~ 54s
  2026-05-15 18:46:34 /api/auth/login .................................................................... ~ 509.49ms
  2026-05-15 18:46:34 /api/auth/login ......................................................................... ~ 22s
  2026-05-15 18:46:57 /api/auth/login .................................................................... ~ 515.70ms
  2026-05-15 18:46:57 /api/auth/login ......................................................................... ~ 13s
  2026-05-15 18:47:11 /api/auth/login .................................................................... ~ 511.14ms
  2026-05-15 18:47:11 /api/auth/login .......................................................................... ~ 5s
  2026-05-15 18:47:17 /api/auth/login .................................................................... ~ 508.23ms
  2026-05-15 18:47:17 /api/me ............................................................................ ~ 510.09ms
  2026-05-15 18:47:18 /api/dashboards/booster .............................................................. ~ 0.21ms
  2026-05-15 18:47:18 /api/dashboards/booster .............................................................. ~ 1.37ms
  2026-05-15 18:47:18 /api/me ............................................................................ ~ 511.80ms
  2026-05-15 18:47:18 /api/dashboards/booster .............................................................. ~ 0.14ms
  2026-05-15 18:47:19 /api/dashboards/booster ............................................................ ~ 512.10ms
  2026-05-15 18:47:19 /api/dashboards/booster .............................................................. ~ 0.16ms
  2026-05-15 18:47:19 /api/dashboards/booster .............................................................. ~ 0.92ms
  2026-05-15 18:47:28 /api/auth/logout ..................................................................... ~ 0.85ms
  2026-05-15 18:47:34 /api/auth/login .................................................................... ~ 513.72ms
